NO;Tanggal;Kurs
1;9/10/2026 12:00:00 AM;17536
2;9/9/2026 12:00:00 AM;17552
3;9/8/2026 12:00:00 AM;17618
4;9/7/2026 12:00:00 AM;17653
5;9/4/2026 12:00:00 AM;17636
6;9/3/2026 12:00:00 AM;17689
7;9/2/2026 12:00:00 AM;17770
8;9/1/2026 12:00:00 AM;17727
9;8/31/2026 12:00:00 AM;17746
10;8/28/2026 12:00:00 AM;17703
11;8/27/2026 12:00:00 AM;17762
12;8/26/2026 12:00:00 AM;17717
13;8/24/2026 12:00:00 AM;17703
14;8/21/2026 12:00:00 AM;17705
15;8/20/2026 12:00:00 AM;17779
16;8/19/2026 12:00:00 AM;17844
17;8/18/2026 12:00:00 AM;17856
18;8/14/2026 12:00:00 AM;17836
19;8/13/2026 12:00:00 AM;17882
20;8/12/2026 12:00:00 AM;17876
21;8/11/2026 12:00:00 AM;17824
22;8/10/2026 12:00:00 AM;17795
23;8/7/2026 12:00:00 AM;17913
24;8/6/2026 12:00:00 AM;17919
25;8/5/2026 12:00:00 AM;17937
26;8/4/2026 12:00:00 AM;18037
27;8/3/2026 12:00:00 AM;17991
28;7/31/2026 12:00:00 AM;18058
29;7/30/2026 12:00:00 AM;18078
30;7/29/2026 12:00:00 AM;18087
31;7/28/2026 12:00:00 AM;18088
32;7/27/2026 12:00:00 AM;17995
33;7/24/2026 12:00:00 AM;17973
34;7/23/2026 12:00:00 AM;17915
35;7/22/2026 12:00:00 AM;17909
36;7/21/2026 12:00:00 AM;17909
37;7/20/2026 12:00:00 AM;17976
38;7/17/2026 12:00:00 AM;17944
39;7/16/2026 12:00:00 AM;18041
40;7/15/2026 12:00:00 AM;18064
41;7/14/2026 12:00:00 AM;18099
42;7/13/2026 12:00:00 AM;18131
43;7/10/2026 12:00:00 AM;18069
44;7/9/2026 12:00:00 AM;18090
45;7/8/2026 12:00:00 AM;18005
46;7/7/2026 12:00:00 AM;17988
47;7/6/2026 12:00:00 AM;17999
48;7/3/2026 12:00:00 AM;17960
49;7/2/2026 12:00:00 AM;17994
50;7/1/2026 12:00:00 AM;17961
51;6/30/2026 12:00:00 AM;17899
52;6/29/2026 12:00:00 AM;17856
53;6/26/2026 12:00:00 AM;17962
54;6/25/2026 12:00:00 AM;17942
55;6/24/2026 12:00:00 AM;17955
56;6/23/2026 12:00:00 AM;17868
57;6/22/2026 12:00:00 AM;17819
58;6/19/2026 12:00:00 AM;17826
59;6/18/2026 12:00:00 AM;17826
60;6/17/2026 12:00:00 AM;17753
61;6/15/2026 12:00:00 AM;17719
62;6/12/2026 12:00:00 AM;17921
63;6/11/2026 12:00:00 AM;17981
64;6/10/2026 12:00:00 AM;17971
65;6/9/2026 12:00:00 AM;18141
66;6/8/2026 12:00:00 AM;18171
67;6/5/2026 12:00:00 AM;18039
68;6/4/2026 12:00:00 AM;18039
69;6/3/2026 12:00:00 AM;17931
70;6/2/2026 12:00:00 AM;17863
71;5/29/2026 12:00:00 AM;17883
72;5/26/2026 12:00:00 AM;17789
73;5/25/2026 12:00:00 AM;17743
74;5/22/2026 12:00:00 AM;17717
75;5/21/2026 12:00:00 AM;17673
76;5/20/2026 12:00:00 AM;17685
77;5/19/2026 12:00:00 AM;17719
